what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch",1517447398505
started,bundle,com.altera.sbtgui.project,12.0.0.178,"com.altera.sbtgui.project",1517447398506
started,bundle,com.altera.systemconsole,12.0.0.178,"com.altera.systemconsole",1517447398506
started,bundle,com.altera.systemconsole.designs.plugin,12.0.0.178,"com.altera.systemconsole.designs.plugin",1517447398506
started,bundle,com.altera.systemconsole.scripting,12.0.0.178,"com.altera.systemconsole.scripting",1517447398507
started,bundle,com.altera.utilities,12.0.0.178,"com.altera.utilities",1517447398507
os,sysinfo,,,"linux",1517447398509
arch,sysinfo,,,"x86",1517447398509
ws,sysinfo,,,"gtk",1517447398509
locale,sysinfo,,,"en_US",1517447398509
processors,sysinfo,,,"4",1517447398509
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1517447398510
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1517447398510
java.specification.name,sysinfo,,,"Java Platform API Specification",1517447398510
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1517447398510
java.specification.version,sysinfo,,,"1.6",1517447398510
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1517447398510
java.version,sysinfo,,,"1.6.0_23",1517447398510
java.vm.info,sysinfo,,,"mixed mode",1517447398510
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1517447398510
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1517447398510
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1517447398510
java.vm.specification.version,sysinfo,,,"1.0",1517447398510
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1517447398510
java.vm.version,sysinfo,,,"19.0-b09",1517447398510
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1517447399551
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517447401847
started,bundle,com.altera.sbtgui.core,12.0.0.178,"com.altera.sbtgui.core",1517447402962
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1517447403055
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1517447403055
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517447403079
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517447404652
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1517447414606
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1517447414606
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517447414621
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1517447415038
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1517447416533
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517447416590
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1517447416721
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1517447416754
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517447417547
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1517447419294
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517447421786
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517447422461
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1517447422604
