what,kind,bundleId,bundleVersion,description,time
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1517017076278
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1517017076282
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1517017076284
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1517017076285
started,bundle,org.eclipse.cdt.core,5.2.1.201009141542,"org.eclipse.cdt.core",1517017076289
started,bundle,org.eclipse.cdt.make.core,7.0.0.201009141542,"org.eclipse.cdt.make.core",1517017076291
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1517017076294
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009141542,"org.eclipse.cdt.managedbuilder.core",1517017076297
started,bundle,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui",1517017076302
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1517017076302
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1517017076303
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1517017076303
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1517017076303
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1517017076304
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1517017076304
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1517017076304
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1517017076305
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1517017076305
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1517017076305
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1517017076306
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1517017076307
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1517017076307
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1517017076307
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1517017076308
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1517017076308
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1517017076308
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1517017076309
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1517017076309
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1517017076309
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1517017076310
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1517017076311
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1517017076311
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1517017076311
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1517017076312
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1517017076312
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1517017076312
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1517017076313
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1517017076313
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1517017076314
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1517017076314
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1517017076314
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1517017076315
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1517017076315
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1517017076315
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1517017076316
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1517017076316
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1517017076317
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1517017076317
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1517017076317
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1517017076318
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1517017076318
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1517017076319
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1517017076319
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1517017076320
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1517017076320
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1517017076320
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1517017076322
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1517017076326
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1517017076328
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1517017076332
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1517017076334
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1517017076337
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1517017076338
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1517017076342
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1517017076344
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1517017076345
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1517017076347
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1517017076348
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1517017076350
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1517017076353
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1517017076355
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1517017076357
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1517017076358
started,bundle,com.altera.sbtgui.integration,12.0.0.178,"com.altera.sbtgui.integration",1517017076360
started,bundle,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch",1517017076362
started,bundle,com.altera.sbtgui.project,12.0.0.178,"com.altera.sbtgui.project",1517017076362
started,bundle,com.altera.sbtgui.ui,12.0.0.178,"com.altera.sbtgui.ui",1517017076363
started,bundle,com.altera.systemconsole,12.0.0.178,"com.altera.systemconsole",1517017076363
started,bundle,com.altera.systemconsole.designs.plugin,12.0.0.178,"com.altera.systemconsole.designs.plugin",1517017076363
started,bundle,com.altera.systemconsole.scripting,12.0.0.178,"com.altera.systemconsole.scripting",1517017076363
started,bundle,com.altera.utilities,12.0.0.178,"com.altera.utilities",1517017076364
os,sysinfo,,,"linux",1517017076366
arch,sysinfo,,,"x86",1517017076366
ws,sysinfo,,,"gtk",1517017076366
locale,sysinfo,,,"en_US",1517017076366
processors,sysinfo,,,"4",1517017076367
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1517017076367
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1517017076367
java.specification.name,sysinfo,,,"Java Platform API Specification",1517017076367
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1517017076367
java.specification.version,sysinfo,,,"1.6",1517017076367
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1517017076367
java.version,sysinfo,,,"1.6.0_23",1517017076367
java.vm.info,sysinfo,,,"mixed mode",1517017076367
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1517017076367
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1517017076367
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1517017076367
java.vm.specification.version,sysinfo,,,"1.0",1517017076367
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1517017076367
java.vm.version,sysinfo,,,"19.0-b09",1517017076367
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517017098754
started,bundle,com.altera.sbtgui.core,12.0.0.178,"com.altera.sbtgui.core",1517017106515
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1517017106595
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1517017106595
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517017106607
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1517017107011
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1517017108650
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517017108709
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1517017108797
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1517017108830
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517017109094
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1517017117799
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1517017118107
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1517017118133
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1517017118287
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1517017118290
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1517017118293
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1517017118529
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1517017120236
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517017200708
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517017865875
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517017889094
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517017974879
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517018075782
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517018753409
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1517018755752
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1517018757752
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517018774618
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517018775402
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517018777602
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517018872760
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517018923690
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517019003637
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1517019005035
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1517019012189
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517019023746
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517019026454
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517019026468
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517019026537
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517019026552
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517019027603
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517019087538
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517019090173
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517019090185
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1517019105103
started,bundle,com.altera.debug.cdi.gdb.plugin,12.0.0.178,"com.altera.debug.cdi.gdb.plugin",1517019107815
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517019107953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517019107988
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517019115226
executed,command,com.altera.sbtgui.project,12.0.0.178,"com.altera.sbtgui.project.commands.quartus",1517019116221
